Id,SalePrice
1461,112684.04013991088
1462,155179.69321578054
1463,163677.3208154916
1464,188402.1682125742
1465,194765.38550279092
1466,177042.8412198641
1467,178386.93993392785
1468,163011.80061576096
1469,208543.93870775867
1470,114530.0140045142
1471,197087.57316808612
1472,107592.15436316491
1473,91857.05145705433
1474,151639.7063323973
1475,113109.45529458614
1476,358746.99066469714
1477,246941.19731122477
1478,310953.343345569
1479,299027.33901913464
1480,433082.4140796142
1481,299756.8122221773
1482,209454.12148289266
1483,184313.07989245106
1484,171992.5833059597
1485,204803.80142539367
1486,212723.44575752981
1487,305536.50979603664
1488,265759.99032045924
1489,193111.40698614577
1490,239504.62630562694
1491,225023.51033448498
1492,97081.86458025337
1493,201988.4647115753
1494,297956.36278694344
1495,281625.4683894251
1496,232008.01578959916
1497,178013.21406993596
1498,169387.8013940223
1499,175650.73172078375
1500,169098.72588297678
1501,206237.71053531684
1502,150247.47704465233
1503,273787.56361280393
1504,250790.05866640923
1505,228483.41382009757
1506,198319.32847290917
1507,249153.19321099936
1508,200954.86118636595
1509,159152.7876735545
1510,144129.09766722925
1511,147019.38474710286
1512,186825.3036591485
1513,162147.92033600854
1514,138730.80680056708
1515,220924.42241478374
1516,175391.91642353404
1517,171029.3343083528
1518,119591.29238583893
1519,228929.17415510397
1520,124913.81760857697
1521,115768.17735775944
1522,198050.85676481354
1523,102617.42110646167
1524,126682.64872052625
1525,101323.03367702162
1526,109578.7083936563
1527,91167.2130427598
1528,153796.36943528196
1529,131081.53179530287
1530,207488.9264265662
1531,146327.027764688
1532,113942.69940852677
1533,167100.78726755513
1534,148696.85637522687
1535,159910.43312175607
1536,112937.75617986545
1537,45806.01525598881
1538,177117.58938258525
1539,219364.48845513584
1540,128932.39528728987
1541,144487.5775402193
1542,134214.39449593727
1543,192868.81017679884
1544,90324.157338385
1545,113701.355584673
1546,141883.57178335043
1547,146688.7331192008
1548,135650.60987855436
1549,103459.65793731157
1550,131719.86700076796
1551,121319.43336557737
1552,151855.67000475153
1553,172910.22421723395
1554,123156.17294479231
1555,162794.37311339006
1556,105960.11615738261
1557,133047.57948445785
1558,112614.0637277764
1559,73044.3067116515
1560,153437.11966410512
1561,152379.44580544694
1562,131970.29958530725
1563,115796.28873032553
1564,158176.88883696217
1565,137451.05587198923
1566,238765.24250426458
1567,80259.39910278993
1568,228343.31423401146
1569,117963.71504369471
1570,147444.61633046775
1571,95692.35923706437
1572,136974.7807739803
1573,244484.60898036032
1574,119612.10976470157
1575,256035.35093896498
1576,257499.7144369051
1577,192190.89831741143
1578,145847.8818133875
1579,124148.73359568999
1580,188671.963940865
1581,157742.67006575305
1582,126605.08395689644
1583,290424.0595735796
1584,234414.34832983103
1585,161125.2890713443
1586,47434.687957520364
1587,104124.7049759964
1588,147622.3190406107
1589,128044.56717771606
1590,137707.38067011186
1591,79912.16911004111
1592,144918.62950056198
1593,142465.74762589717
1594,134531.09094406234
1595,113823.38997345779
1596,228667.92659898533
1597,153200.57077974698
1598,203005.46846227325
1599,195165.2182246704
1600,186343.05006394512
1601,36287.18968888756
1602,121075.41083793843
1603,43219.85918552952
1604,253863.90543419216
1605,260740.03314120544
1606,164884.13532583835
1607,158772.19041091565
1608,234915.0667620023
1609,200674.11402163177
1610,156524.04805678246
1611,157814.59687294823
1612,186133.41418777558
1613,165487.8732668562
1614,130581.27358493104
1615,85675.63953080622
1616,60944.40499383607
1617,68854.51636464545
1618,101512.0158966583
1619,163565.97248413798
1620,155350.3792378439
1621,135803.1564485617
1622,140563.92356101272
1623,248244.93770397292
1624,221742.74561911717
1625,106833.91051025456
1626,182747.2730597459
1627,177640.33318576973
1628,276295.62781153433
1629,177780.54489934596
1630,315842.46256761777
1631,224329.21334107663
1632,231304.97366087104
1633,184372.68328595383
1634,195120.42005958827
1635,187050.37023561285
1636,164980.10896409792
1637,197636.8224481335
1638,220107.91582772078
1639,190361.8687073196
1640,268301.3850924439
1641,184712.05097973882
1642,257360.96900708042
1643,233656.13591856894
1644,236463.51731723873
1645,235063.51413503697
1646,164882.2371029819
1647,157184.11511077895
1648,132483.4143526815
1649,139644.17348964035
1650,104477.37397634785
1651,107967.28164844716
1652,113800.72004410275
1653,116615.23849221761
1654,144873.0835875289
1655,137662.5099170378
1656,140235.20276254963
1657,145463.97514047765
1658,150204.44385625515
1659,109587.49378061225
1660,144593.4465952702
1661,408640.3759307823
1662,348743.4615339617
1663,367240.0102519011
1664,443280.657930807
1665,330810.8345392975
1666,298540.7549762352
1667,338714.98446015804
1668,344671.7603632072
1669,300811.3400741245
1670,344653.60895319225
1671,258109.55274971493
1672,386263.08105018514
1673,284764.17098533234
1674,255773.1054465667
1675,192462.17696499976
1676,204499.46508078382
1677,209930.4209699802
1678,412453.00794957345
1679,344905.1321823379
1680,321488.4723337487
1681,284872.05219083466
1682,296409.42080901726
1683,194541.7277851709
1684,192676.2320488803
1685,193832.01726152247
1686,177250.5028750525
1687,188657.95023017656
1688,212413.42845990602
1689,213343.12490875425
1690,213229.8232498262
1691,204251.65234221122
1692,273306.8617192488
1693,186201.797960061
1694,178439.239326193
1695,169434.83664533088
1696,277094.2069935007
1697,168639.8196949258
1698,321663.71546583704
1699,309996.0998899733
1700,253944.60940058238
1701,280588.17702237854
1702,258930.3605254012
1703,260560.4980231066
1704,278111.882481026
1705,255035.57434276014
1706,398448.0033569054
1707,220200.31810660695
1708,210066.92122240015
1709,271198.0048829848
1710,231201.79613701592
1711,269496.7778457202
1712,258603.09238798497
1713,274340.2756666007
1714,225674.75834365725
1715,214580.88696790673
1716,196473.55821866216
1717,192767.820155318
1718,149879.5105123975
1719,226268.5108245334
1720,248746.6757962118
1721,192423.44366113644
1722,141203.24774385896
1723,163029.84422476217
1724,227407.89165069198
